Date,Close,High,Low,Open,Volume,MA_7,MA_30,Daily_Return,Rolling_Volatility_30,Lag_1,Lag_2,Lag_3,Norm_Open,Norm_High,Norm_Low,Norm_Close,Norm_Volume,Norm_MA_7,Norm_MA_30,Norm_Lag_1,Norm_Lag_2,Norm_Lag_3
2020-01-31,9350.529296875,9521.7060546875,9230.7763671875,9508.3134765625,29432489719,9058.46275111607,8428.907014973958,-0.016664631518128026,0.028622689955928073,9508.9931640625,9316.6298828125,9358.58984375,0.07203741339659227,0.06602612544897508,0.08227681575368019,0.0699683431764112,0.0697301881688783,0.06351988930004138,0.037795831734233745,0.07249987499677253,0.06942678473211751,0.07009711405185266
2020-02-01,9392.875,9439.3232421875,9313.2392578125,9346.357421875,25922656496,9204.895228794643,8509.153841145833,0.00452869583961979,0.027682210513461494,9350.529296875,9508.9931640625,9316.6298828125,0.06944807018104841,0.06472789537853794,0.08360098729359385,0.07064483490174357,0.059575501107011306,0.06594903424884402,0.039216156286188505,0.0699683431764112,0.07249987499677253,0.06942678473211751
2020-02-02,9344.365234375,9468.7978515625,9217.82421875,9389.8203125,30835736946,9311.685965401786,8575.803206380207,-0.0051645279666768795,0.026690817580940045,9392.875,9350.529296875,9508.9931640625,0.07014295214260839,0.06519237119629438,0.08206883291180204,0.06986986949507042,0.07379007807112213,0.06772056869612406,0.04039581328111848,0.07064483490174357,0.0699683431764112,0.07249987499677253
2020-02-03,9293.521484375,9540.3720703125,9248.6337890625,9344.68359375,30934096509,9366.500558035714,8638.565364583334,-0.005441113304621492,0.02680953858123863,9344.365234375,9392.875,9350.529296875,0.06942130912226725,0.06632027397394348,0.08256356643200215,0.06905761763427747,0.07407465301196597,0.06862987920516059,0.04150666885612454,0.06986986949507042,0.07064483490174357,0.0699683431764112
2020-02-04,9180.962890625,9331.265625,9112.8115234375,9292.841796875,29893183716,9341.125279017857,8697.553548177084,-0.012111511652417528,0.02702401959832238,9293.521484375,9344.365234375,9392.875,0.06859246573460324,0.0630250687364808,0.08038256140945095,0.06725944328203794,0.07106307297381984,0.06820893276057477,0.04255072716260473,0.06905761763427747,0.06986986949507042,0.07064483490174357
2020-02-05,9613.423828125,9701.2998046875,9163.7041015625,9183.416015625,35222060874,9383.5244140625,8759.027034505209,0.047104093835473426,0.026963039982736414,9180.962890625,9293.521484375,9344.365234375,0.06684297322670045,0.06885625469119498,0.08119978359309248,0.07416820200271941,0.08648063742560551,0.06891228522964502,0.043638773956369295,0.06725944328203794,0.06905761763427747,0.06986986949507042
2020-02-06,9729.8017578125,9824.619140625,9539.818359375,9617.8212890625,37628823716,9415.06849888393,8811.230680338542,0.012105773319493585,0.02571692526108025,9613.423828125,9180.962890625,9293.521484375,0.0737882174149604,0.07079958322444214,0.08723934626396569,0.07602739197088475,0.09344390945018045,0.06943556500694123,0.044562749687444655,0.07416820200271941,0.06725944328203794,0.06905761763427747
2020-02-07,9795.943359375,9834.716796875,9726.0029296875,9726.0029296875,34522718159,9478.69907924107,8868.433365885418,0.006797836503646293,0.02552861098214614,9729.8017578125,9613.423828125,9180.962890625,0.07551781868080533,0.07095870720415197,0.09022905845220323,0.07708403391694434,0.08445729159444622,0.07049112252610865,0.04557520566353472,0.07602739197088475,0.07416820200271941,0.06725944328203794
2020-02-08,9865.119140625,9876.7490234375,9678.91015625,9793.0703125,35172043762,9546.162527901786,8934.6349609375,0.007061676319697785,0.024821600918861438,9795.943359375,9729.8017578125,9613.423828125,0.07659008777877092,0.07162107231156882,0.08947285272319096,0.07818914825335975,0.08633592738161537,0.07161026288445665,0.046746937373267974,0.07708403391694434,0.07602739197088475,0.07416820200271941
2020-02-09,10116.673828125,10129.435546875,9850.392578125,9863.89453125,35807884663,9656.49232700893,8999.638948567708,0.02549940694219166,0.02446236517469872,9865.119140625,9795.943359375,9729.8017578125,0.07772242093340574,0.07560303448505958,0.09222648094215492,0.08220784795613677,0.08817554908457244,0.07344050627343912,0.04789747209234087,0.07818914825335975,0.07708403391694434,0.07602739197088475
2020-02-10,9856.611328125,10165.765625,9784.5634765625,10115.5595703125,39386548075,9736.93373325893,9060.274739583334,-0.025706324471686526,0.024850808417407923,10116.673828125,9865.119140625,9795.943359375,0.08174602574857272,0.07617554225035593,0.09116941124539217,0.07805323210763086,0.09852937638624454,0.07477493589427564,0.04897069214122145,0.08220784795613677,0.07818914825335975,0.07708403391694434
2020-02-11,10208.236328125,10210.052734375,9729.3349609375,9855.8916015625,37648059389,9883.687081473214,9127.466145833334,0.03567402510806805,0.025303671734279283,9856.611328125,10116.673828125,9865.119140625,0.07759447059693463,0.07687344094279695,0.09028256350057,0.08367060023156604,0.09349956230526753,0.07720940371306861,0.05015994296308997,0.07805323210763086,0.08220784795613677,0.07818914825335975
2020-02-12,10326.0546875,10393.611328125,10202.3876953125,10202.3876953125,43444303830,9985.491489955357,9200.19482421875,0.011541499979814906,0.0251814857153093,10208.236328125,9856.611328125,10116.673828125,0.08313422834971014,0.07976605020026077,0.0978787435882444,0.08555280171430323,0.11026931878450327,0.07889822076069841,0.05144720044690347,0.08367060023156604,0.07805323210763086,0.08220784795613677
2020-02-13,10214.3798828125,10457.626953125,10116.1611328125,10323.9609375,49356071373,10054.71693638393,9246.41533203125,-0.010814856987217514,0.020946603199780516,10326.0546875,10208.236328125,9856.611328125,0.0850779336990241,0.08077484083062224,0.09649413580671136,0.08376874629134341,0.12737330793939405,0.08004659061816741,0.05226527793584122,0.08555280171430323,0.08367060023156604,0.07805323210763086
