Model,RMSE,MAE,MAPE (%)
ARIMA,5705.282133620293,3639.1856581555335,0.10271642317717038
Prophet,25487.113355840454,22921.91513854907,72.60900962801188
LSTM (Scaled 0-1),0.026087691501094683,0.017902720149372785,4.125612238692684
